,지역명,규모구분,연도,월,분양가격(제곱미터)
0,서울,모든면적,2015,10,5841
1,서울,전용면적 60제곱미터이하,2015,10,5652
2,서울,전용면적 60제곱미터초과 85제곱미터이하,2015,10,5882
3,서울,전용면적 85제곱미터초과 102제곱미터이하,2015,10,5721
4,서울,전용면적 102제곱미터초과,2015,10,5879
5,인천,모든면적,2015,10,3163
6,인천,전용면적 60제곱미터이하,2015,10,3488
7,인천,전용면적 60제곱미터초과 85제곱미터이하,2015,10,3119
8,인천,전용면적 85제곱미터초과 102제곱미터이하,2015,10,3545
9,인천,전용면적 102제곱미터초과,2015,10,3408
10,경기,모든면적,2015,10,3138
11,경기,전용면적 60제곱미터이하,2015,10,3126
12,경기,전용면적 60제곱미터초과 85제곱미터이하,2015,10,3239
13,경기,전용면적 85제곱미터초과 102제곱미터이하,2015,10,3496
14,경기,전용면적 102제곱미터초과,2015,10,3680
15,부산,모든면적,2015,10,3112
16,부산,전용면적 60제곱미터이하,2015,10,2950
17,부산,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2999
18,부산,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2957
19,부산,전용면적 102제곱미터초과,2015,10,3500
20,대구,모든면적,2015,10,2682
21,대구,전용면적 60제곱미터이하,2015,10,2614
22,대구,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2696
23,대구,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2557
24,대구,전용면적 102제곱미터초과,2015,10,2598
25,광주,모든면적,2015,10,2420
26,광주,전용면적 60제곱미터이하,2015,10,2253
27,광주,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2439
28,광주,전용면적 85제곱미터초과 102제곱미터이하,2015,10,  
29,광주,전용면적 102제곱미터초과,2015,10,  
30,대전,모든면적,2015,10,2454
31,대전,전용면적 60제곱미터이하,2015,10,2585
32,대전,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2428
33,대전,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2461
34,대전,전용면적 102제곱미터초과,2015,10,  
35,울산,모든면적,2015,10,3053
36,울산,전용면적 60제곱미터이하,2015,10,2422
